cmbLocation,tiName,cmbMake,cmbModel,cmbCabinet,cmbUPosition,ip_idrac,ip_base,power,power measurement
MA2 > CAGE 15A,MA2-DMES11.PULSE.PROD,Dell Inc.,PowerEdge R640,A-05,22,10.31.17.34,10.30.17.34,282,W
MA2 > CAGE 15A,MA2-DM-K8S-AGENT-PROD01.PULSE.PROD,Dell Inc.,PowerEdge R640,A-03,19,10.31.32.24,10.30.32.24,387,W
MA2 > CAGE 15A,MA2-DM-K8S-AGENT-PROD02.PULSE.PROD,Dell Inc.,PowerEdge R640,A-03,15,10.31.32.25,10.30.32.25,386,W
MA2 > CAGE 15A,MA2-DM-K8S-AGENT-PROD03.PULSE.PROD,Dell Inc.,PowerEdge R640,A-05,21,10.31.32.26,10.30.32.26,406,W
MA2 > CAGE 15A,MA2-DM-K8S-AGENT-PROD04.PULSE.PROD,Dell Inc.,PowerEdge R640,A-05,15,10.31.32.27,10.30.32.27,361,W
MA2 > CAGE 15A,MA2-DM-K8S-AGENT-PROD05.PULSE.PROD,Dell Inc.,PowerEdge R640,A-07,22,10.31.32.28,10.30.32.28,408,W
MA2 > CAGE 15A,MA2-DM-K8S-AGENT-PROD06.PULSE.PROD,Dell Inc.,PowerEdge R640,A-07,21,10.31.32.29,10.30.32.29,395,W
MA2 > CAGE 15A,MA2-DM-K8S-AGENT-PROD07.PULSE.PROD,Dell Inc.,PowerEdge R640,A-07,15,10.31.32.30,10.30.32.30,418,W
MA2 > CAGE 15A,MA2-DM-K8S-AGENT-PROD08.PULSE.PROD,Dell Inc.,PowerEdge R640,A-09,22,10.31.32.31,10.30.32.31,421,W
MA2 > CAGE 15A,MA2-DM-K8S-AGENT-PROD09.PULSE.PROD,Dell Inc.,PowerEdge R640,A-09,21,10.31.32.32,10.30.32.32,408,W
MA2 > CAGE 15A,MA2-DM-K8S-AGENT-PROD10.PULSE.PROD,Dell Inc.,PowerEdge R640,A-09,15,10.31.32.33,10.30.32.33,405,W
MA2 > CAGE 15A,MA2-DM-K8S-AGENT-PROD11.PULSE.PROD,Dell Inc.,PowerEdge R640,A-11,22,10.31.32.34,10.30.32.34,414,W
MA2 > CAGE 15A,MA2-DM-K8S-AGENT-PROD12.PULSE.PROD,Dell Inc.,PowerEdge R640,A-11,21,10.31.32.35,10.30.32.35,411,W
MA2 > CAGE 15A,MA2-DM-K8S-AGENT-PROD13.PULSE.PROD,Dell Inc.,PowerEdge R640,A-11,28,10.31.32.36,10.30.32.36,411,W
MA2 > CAGE 15A,MA2-DM-K8S-AGENT-PROD14.PULSE.PROD,Dell Inc.,PowerEdge R640,A-11,15,10.31.32.37,10.30.32.37,397,W
MA2 > CAGE 15A,MA2-DM-K8S-AGENT-PROD15.PULSE.PROD,Dell Inc.,PowerEdge R640,A-14,22,10.31.32.38,10.30.32.38,408,W
